p = 5623, n = 2497
p = 5651, n = 312
p = 5659, n = 2643
p = 5689, n = 1770
p = 5693, n = 271
p = 5717, n = 1405
p = 5749, n = 227
p = 5791, n = 2264
p = 5813, n = 449
p = 5827, n = 2762
p = 5839, n = 833
p = 5843, n = 2139
p = 5851, n = 1350
p = 5857, n = 1163
p = 5923, n = 313
p = 5953, n = 54
p = 6007, n = 331
p = 6011, n = 607
p = 6043, n = 1716
p = 6053, n = 1148
p = 6079, n = 815
p = 6089, n = 1087
p = 6101, n = 1948
p = 6121, n = 2070
p = 6131, n = 1803
p = 6133, n = 2606
p = 6197, n = 834
p = 6203, n = 479
p = 6217, n = 1812
p = 6221, n = 266
p = 6247, n = 2481
p = 6263, n = 1605
p = 6269, n = 206
p = 6277, n = 1843
p = 6287, n = 1456
p = 6311, n = 2284
p = 6343, n = 1538
p = 6379, n = 2480
p = 6397, n = 2387
p = 6451, n = 584
p = 6473, n = 481
p = 6491, n = 2781
p = 6569, n = 2676
p = 6577, n = 2303
p = 6581, n = 2956
p = 6659, n = 2943
p = 6673, n = 2869
p = 6691, n = 743
p = 6709, n = 2258
p = 6761, n = 389
p = 6763, n = 3230
p = 6791, n = 962
p = 6793, n = 58
p = 6823, n = 191
p = 6829, n = 229
p = 6833, n = 52
p = 6871, n = 3375
p = 6907, n = 965
p = 6911, n = 3114
p = 6959, n = 2317
p = 6961, n = 742
p = 6967, n = 158
p = 7019, n = 3127
p = 7069, n = 2454
p = 7079, n = 3305
p = 7103, n = 2004
p = 7129, n = 9
p = 7151, n = 2034
p = 7159, n = 2957
p = 7187, n = 2085
p = 7211, n = 2797
p = 7213, n = 3601
p = 7219, n = 1806
p = 7307, n = 1336
p = 7369, n = 3089
p = 7411, n = 2916
p = 7433, n = 1616
p = 7451, n = 941
p = 7459, n = 746
p = 7481, n = 3168
p = 7489, n = 544
p = 7517, n = 666
p = 7537, n = 144
p = 7547, n = 2448
p = 7561, n = 2963
p = 7577, n = 3287
p = 7589, n = 1863
p = 7639, n = 3488
p = 7649, n = 2569
p = 7681, n = 3168
p = 7687, n = 1007
p = 7691, n = 1020
p = 7699, n = 1006
p = 7757, n = 2014
p = 7789, n = 2272
p = 7823, n = 1905
p = 7841, n = 1553
p = 7873, n = 1657
p = 7919, n = 1391
p = 7933, n = 2876
p = 7949, n = 2203
p = 7963, n = 2750
p = 8053, n = 3754
p = 8069, n = 991
p = 8081, n = 1629
p = 8087, n = 1120
p = 8089, n = 3810
p = 8123, n = 733
p = 8147, n = 1102
p = 8161, n = 358
p = 8167, n = 3731
p = 8209, n = 3540
p = 8219, n = 1087
p = 8231, n = 1681
p = 8233, n = 2573
p = 8263, n = 2686
p = 8293, n = 295
p = 8369, n = 1157
p = 8387, n = 733
p = 8419, n = 658
p = 8423, n = 2899
p = 8429, n = 2086
p = 8431, n = 16
p = 8467, n = 744
p = 8513, n = 2017
p = 8521, n = 635
p = 8527, n = 520
p = 8573, n = 1071
p = 8623, n = 1092
p = 8629, n = 76
p = 8677, n = 1353
p = 8681, n = 3283
p = 8689, n = 846
p = 8693, n = 2892
p = 8719, n = 331
p = 8731, n = 2026
p = 8737, n = 1180
p = 8779, n = 1883
p = 8819, n = 296
p = 8863, n = 792
p = 8887, n = 85
p = 8923, n = 2251
p = 8929, n = 1843
p = 8951, n = 2299
p = 9001, n = 2967
p = 9007, n = 4383
p = 9011, n = 3332
p = 9049, n = 1764
p = 9059, n = 36
p = 9067, n = 4078
p = 9103, n = 54
p = 9127, n = 4422
p = 9137, n = 3911
p = 9173, n = 3280
p = 9181, n = 2518
p = 9227, n = 2516
p = 9239, n = 282
p = 9241, n = 969
p = 9257, n = 997
p = 9281, n = 599
p = 9293, n = 4088
p = 9319, n = 993
p = 9323, n = 3350
p = 9337, n = 1051
p = 9371, n = 793
p = 9391, n = 536
p = 9397, n = 3561
p = 9413, n = 2096
p = 9467, n = 379
p = 9473, n = 280
p = 9479, n = 3526
p = 9533, n = 1014
p = 9587, n = 1499
p = 9623, n = 2593
p = 9629, n = 262
p = 9649, n = 2878
p = 9679, n = 2673
p = 9697, n = 1449
p = 9721, n = 4259
p = 9743, n = 4078
p = 9781, n = 4689
p = 9787, n = 1684
p = 9859, n = 1477
p = 9901, n = 1222
p = 9931, n = 2353
p = 9941, n = 295
p = 9967, n = 538
